distance,site,silt_clay,organic,tot_hc_gc,naph_ult,phen_ult,dibenz_ult,pah_4r_202,pah_4r_228,pah_5r_252,pah_6r_276,ba_tot,cd,cr,cu,ni,pb,va,zn,fe,hg
10,63,85.4,4.8,15212,10.88,21.233,9.828,11.273,4.711,1.581,0.544,20277.9,-1,27,19.8,13.2,206.9,15.3,331.2,23860.2,2.48
70,8,85.6,4.8,17798,2.134,2.508,0.335,0.817,0.196,0.245,0.099,10601,-1,46.5,19.1,30.5,42.8,43.5,108.5,22446.5,0.04
70,40,83.7,4.9,15052,6.817,7.464,0.991,0.414,0.258,0.098,0.103,29106.9,-1,43.1,23.4,34.2,116.7,48.5,300,24571.4,1.38
110,6,88.1,5,119,0.27,0.786,0.04,0.186,0.105,0.047,0.027,1035.6,1.1,134.1,14.7,29.9,18.5,42.1,98.5,20702.7,0.08
110,41,86.8,5.8,3495,0.695,0.179,0.009,0.054,0.026,0.019,0.015,10686.1,-1,58,18.6,39.4,33.7,52.1,109.1,15862.8,0.32
120,39,79.1,6,7188,2.037,1.851,0.206,0.447,0.15,0.078,0.072,46666.6,1.2,25.2,19,23.8,111.6,22.8,226.8,29030.3,0.83
210,10,86.7,5.7,57,0.449,0.554,0.041,0.32,0.121,0.054,0.044,7211.5,-1,52.1,16.2,34.2,56.7,46,83.3,21240.3,0.31
210,42,87.5,6,380,0.14,0.066,0.005,0.075,0.028,0.021,0.014,4405.5,-1,46.8,9.6,27.6,22.1,42.3,67.3,19133.2,0.08
220,38,86.9,5.7,28052,0.435,0.05,0.004,0.07,0.026,0.021,0.027,1184,-1,54.8,9.5,27.9,18.1,44.2,61.5,24771.3,0.1
400,20,86.1,5.7,1411,0.129,0.041,0.008,0.083,0.022,0.015,0.02,2576,-1,69.1,19.5,34.2,25.3,46.9,87.2,19116.6,0.06
410,26,88.6,5.4,131,0.28,0.089,0.006,0.063,0.023,0.019,0.014,1125.8,-1,44.4,13,34.6,17.2,39.5,109.2,19284.3,0.01
550,3,83.5,4.6,23,0.35,0.228,0.025,0.274,0.071,0.034,0.034,2850.1,-1,46.5,15.3,29,22.6,38.9,73.3,19132.1,0.29
550,12,86.3,5.4,25,0.429,0.621,0.032,0.178,0.089,0.044,0.04,553.8,-1,48.9,11.8,25.8,19.6,37.2,67.2,19303,0.29
700,19,87.5,5.3,52,0.215,0.449,0.03,0.105,0.051,0.04,0.028,556.8,-1,52.1,9.2,27,16.9,43.9,60,18081.6,0.1
710,27,87,5.2,66,0.175,0.049,0.005,0.061,0.022,0.016,0.015,654.3,-1,49.1,8.8,26.7,21.5,42.4,59.9,19137.6,0.1
1100,18,90.4,6.1,153,0.286,0.604,0.042,0.656,0.121,0.058,0.037,530.8,-1,48.3,13.6,38.2,20.6,44,114.5,19808.2,0.09
1100,28,88.1,5.7,16,0.221,0.36,0.009,0.082,0.026,0.019,0.016,516.6,-1,50.3,9.3,27.9,17,44.2,63.9,20129,0.05
1610,29,86.5,5.7,38,0.355,0.448,0.011,0.112,0.021,0.019,0.016,429.1,-1,55,9.9,24.7,17.6,40.9,53,20309.8,0.11
2910,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3700,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
