,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20,SP21,SP22,SP23,SP24,SP25,SP26,SP27,SP28,SP29,SP30,SP31,SP32,SP33,SP34,SP35,SP36,SP37,SP38,SP39,SP40,SP41,SP42,SP43,SP44,SP45,SP46,SP47,SP48,SP49,SP50,SP51,SP52,SP53,SP54,SP55,SP56,SP57,SP58,SP59,SP60,SP61,SP62,SP63,SP64,SP65,SP66,SP67,SP68,SP69,SP70,SP71,SP72,SP73,SP74,SP75,SP76,SP77,SP78,SP79,SP80,SP81,SP82,SP83,SP84,SP85,SP86,SP87,SP88,SP89,SP90,SP91,SP92,SP93,SP94,SP95,SP96,SP97,SP98,SP99,SP100,SP101,SP102,SP103,SP104,SP105,SP106,SP107
Breitungen,0,0,0,16,0,0,0,0,0,440,0,32,0,0,0,0,0,0,3848,0,0,0,0,0,0,0,16,0,88,0,456,0,0,0,0,24,40,0,0,0,8,0,0,0,40,0,0,528,120,0,0,0,0,0,8,0,160,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,72,0,360,0,0,0,0,0,0,0,0,0
Unterrohn,0,0,0,72,0,0,280,0,0,2,16,16,0,0,0,0,0,0,80,0,0,0,0,8,0,0,104,0,0,0,116,0,0,0,0,0,208,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,8
Tiefenort,0,0,0,160,0,0,0,0,0,120,0,16,0,8,0,0,0,24,3784,0,0,0,0,0,0,0,0,0,0,0,88,0,4,0,0,0,144,0,0,0,0,0,0,0,8,0,0,96,200,0,0,0,0,0,16,0,120,0,0,0,208,0,0,0,0,104,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,16,136,0,0,0,0,104,0,144,0,8,0,0,8,0,8,0,0,0,0,0,0,24,8,0
Merkers,0,0,8,560,0,0,80,24,0,24,104,176,0,0,0,0,0,8,424,0,0,0,0,104,0,0,216,0,0,0,176,0,0,0,0,0,240,8,0,0,0,0,8,0,0,0,0,80,0,0,0,0,24,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,16,0,32,0,0,0,0,0,8,0,0,0,16,24,0,0,0,0,16,0,0,0,0,8,0,0,0,0,0,112,0,0,0,0,0,0,0
Dorndorf,0,0,0,1120,0,0,0,208,0,32,0,232,0,16,0,0,0,5038,4552,0,0,0,0,0,0,0,0,0,304,0,1520,16,0,0,0,8,40,0,0,0,8,0,0,0,0,16,0,2528,568,0,0,0,0,8,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,16,0,0,0,0,0,0,0,0,8,800,0,8,0,0,0,24,8,0,160,0,0,0,0,12480,0,0,0,0,0,0,0,0,0
Letzter Heller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,8,0,0,32,0,0,0,0,0,0,0,0,0,3560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Gerstungen,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,40,0,0,0,0,8,0,0,0,0,0,0,96,0,80,0,0,0,14560,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blickershausen,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,8,168,0,0,3880,0,336,0,0,1944,0,0,0,104,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,16,0,0,0,0,0,0,8,16,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,0,520,0,0,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Unterrieden,0,0,0,40,0,0,0,8,0,0,0,0,0,0,0,3,0,216,6080,0,0,728,0,0,0,0,8,0,24,0,408,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,5256,488,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,480,0,104,0,0,1664,0,24,0,0,56,0,0,0,12560,0,0,0,0,0,0,0,0,3
Buchenau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
