"Site" "Month" "Site_Month" "T" "pH" "oxygen" "Depth" "max_width" "min_width" "rif_perc" "pool_perc" "Bedrock" "Boulder" "Cobble" "Pebble" "Gravel" "Sand" "Clay.silt" "log_Cond" "log_Nh4" "log_NO2" "log_NO3" "log_PO4" "log_Turb" "log_maxTU"
1 2 "1_2" 19.1 7.81 63 0.6 25 15 0 100 0 0 0 0 0 10 90 2.05880548667591 -0.657577319177794 -2.3 0.204119982655925 1.36 0.778151250383644 -2.14593941911985
1 9 "1_9" 12 7.23 70 1 20 17 0 100 0 0 0 0 0 0 100 1.95424250943932 -1.82390874094432 -2.3 -0.481486060122112 0.54 0.816241299991783 -5.13667713987954
1 11 "1_11" 16.8 7.67 80.1 0.9 15 12 0 100 0 0 0 0 0 20 80 1.97863694838447 -0.207608310501746 -2.3 -0.698970004336019 0.51 1.18184358794477 -2.63339775819254
2 2 "2_2" 16.7 7.18 74.8 0.7 15 10 0 100 0 0 0 0 0 15 85 1.86332286012046 -0.397940008672038 -2.3 -2.30102999566398 -0.59 0.681241237375587 -5.13667713987954
2 9 "2_9" 11.7 6.43 62 1 20 12 0 100 0 0 0 0 0 20 80 1.8750612633917 0.414973347970818 -2.3 -2.30102999566398 1.4 0.897627091290441 -2.60700599949414
2 11 "2_11" 16.5 7.29 83 0.9 30 15 0 100 0 0 0 0 0 10 90 1.84198480459011 -0.397940008672038 -2.3 -2.30102999566398 -0.1 0.977723605288848 -3.02144061112674
3 2 "3_2" 18 7.54 93.6 0.35 4 2.5 0 100 0 0 5 0 0 5 90 3.03059972196595 -0.552841968657781 -2.3 -2.30102999566398 0.62 0.919078092376074 -4.85356186471423
3 9 "3_9" 12.7 6.93 97 0.4 4 2.5 0 100 0 0 0 0 0 0 100 2.68841982200271 -1.82390874094432 -2.3 -0.337242168318426 0.44 1.02938377768521 -5.13667713987954
3 11 "3_11" 17.3 7.2 77.9 0.4 4 2.5 0 100 0 0 10 0 0 10 80 2.66838591669 -0.619788758288394 -2.3 -2.30102999566398 0.38 1.19589965240923 -3.60964787416678
4 2 "4_2" 17 7.24 31.6 0.5 10 3 0 100 0 0 0 0 0 5 95 3.15624619039734 -0.318758762624413 -2.3 -2.30102999566398 0.83 0.113943352306837 -1.57723194886914
4 9 "4_9" 12.1 8.09 77 0.8 10 2 0 100 0 0 0 0 0 0 100 2.72997428569956 -0.638272163982407 -2.3 -2.30102999566398 0 0.954242509439325 -0.950206879309023
4 11 "4_11" 15.6 7.84 72 0.7 8 2.5 0 100 0 0 0 0 0 10 90 2.76789761601809 -0.0757207139381184 -2.3 -2.30102999566398 -0.1 0.740362689494244 -1.38667731696722
5 2 "5_2" 17.2 6.97 69.9 1 7 4 0 100 0 0 0 0 5 15 80 1.75966784468963 -0.397940008672038 -2.3 -2.30102999566398 1.12 0.477121254719662 -5.13667713987954
5 9 "5_9" 10.6 6.21 61 1 7 4 0 100 0 0 0 0 0 0 100 1.59879050676312 -0.0506099933550872 -2.3 0.556302500767287 0.7 0.681241237375587 -5.13667713987954
5 11 "5_11" 17.2 6.97 69.9 0.9 7 4 0 100 0 0 0 0 0 10 90 1.75966784468963 -0.397940008672038 -2.3 -2.30102999566398 1.12 0.477121254719662 -3.60786606024573
6 2 "6_2" 16.5 7.17 20 0.05 2 1 5 95 0 0 15 22.5 17.5 15 30 2.90417436828416 -0.698970004336019 -2.3 -2.30102999566398 0.93 0.89209460269048 -3.45252066606897
6 9 "6_9" 13.2 7.59 58.2 0.2 3 1.5 20 80 0 0 15 20 20 25 20 2.69897000433602 -0.214670164989233 -2.3 -0.154901959985743 1.6 0.903089986991944 -5.13667713987954
6 11 "6_11" 15.5 7.26 80 0.2 3 2 5 95 0 0 15 25 15 5 40 2.78887511577542 -0.744727494896694 -2.3 -2.30102999566398 -0.4 0.602059991327962 -3.23061528802609
7 2 "7_2" 15.6 7.15 102 0.2 4 2 0 100 0 5 2.5 0 0 10 82.5 2.18184358794477 -0.744727494896694 -2 -2.30102999566398 1.05 1.04921802267018 -3.61387574159969
7 9 "7_9" 12.2 7.18 63.3 0.7 7 4 0 100 0 5 5 0 0 10 80 2.14332712999205 0.356025857193123 -2.3 -1.69897000433602 1.18 1.16435285578444 -1.52903075490371
7 11 "7_11" 20.4 7.68 77.6 0.6 5 3 0 100 0 5 0 0 0 10 85 2.24797326636181 -0.619788758288394 -2.3 -2.30102999566398 0.86 1.07918124604762 -2.49312171595757
8 9 "8_9" 11.6 7.07 55 0.4 8 3.5 5 95 0 0 5 0 0 20 75 2.10551018476997 0 -2.3 -2.30102999566398 1.48 1.10380372095596 -5.13667713987954
8 11 "8_11" 16.9 7.19 80 0.3 8 4 0 100 0 0 0 0 0 10 90 2.20139712432045 -0.698970004336019 -2 0.113943352306837 0.58 0.361727836017593 -2.67462187131522
9 2 "9_2" 16.8 7.02 84.2 0.2 2.5 1 0 100 0 0 0 0 30 50 20 2.09516935143176 -0.173925197299174 -2.3 -2.30102999566398 -0.05 1.23044892137827 -2.5608742375596
9 9 "9_9" 11.9 6.64 60.6 0.4 4 1.5 5 95 0 0 0 0 60 30 10 2.00432137378264 -0.259637310505756 -2.3 -2.30102999566398 1 1.27415784926368 -5.13667713987954
9 11 "9_11" 16.8 7.38 75.4 0.3 4 2 5 95 0 0 0 0 0 70 30 2 -1.82390874094432 -2.3 -0.42021640338319 -1.3 1.31806333496276 -4.08407278830288
10 2 "10_2" 14.7 7.27 62 0.25 3.5 2 5 95 0 2.5 10 2.5 20 50 10 2.2405492482826 -0.408935392973501 -2.3 -2.30102999566398 0.41 1.39619934709574 -4.53402263171418
10 9 "10_9" 11.5 6.21 61.3 0.4 4 2 5 95 0 0 15 5 20 50 10 2.85733249643127 -1.09691001300806 -1.22 -2.30102999566398 1.48 1.06818586174616 -4.32075385458614
10 11 "10_11" 17 6.44 88.4 0.3 5 2 0 100 0 5 5 0 20 50 20 2.86033800657099 -0.602059991327962 -2.3 0.278753600952829 1.04 1.06818586174616 -4.12784372725171
11 2 "11_2" 16.4 7.5 65 0.1 2.5 1.5 5 95 0 5 5 5 20 37.5 17.5 2.2027606873932 -0.494850021680094 -2.3 0 1.37 1.03342375548695 -2.14186901557938
11 9 "11_9" 11.7 6.89 56.6 0.2 3 1.5 10 90 0 5 10 5 20 35 25 2.13987908640124 -0.173925197299174 -2.3 -2.30102999566398 0.48 1.13353890837022 -5.13667713987954
11 11 "11_11" 15.2 7.13 96 0.1 2.5 1.5 5 95 0 5 0 5 20 40 30 2.13987908640124 -0.229147988357856 -2.3 -2.30102999566398 0.51 1.01703333929878 -4.92190584959359
12 2 "12_2" 19.1 7.52 84.3 0.5 15 10 0 100 0 0 0 0 0 25 75 1.67851837904011 -0.657577319177794 -2.3 0 1.04 0.414973347970818 -2.21119550695535
12 9 "12_9" 11.7 6.58 65 1 18 12 0 100 0 0 0 0 0 20 80 1.70243053644553 0.0934216851622351 0.26 -2 0.33 0.568201724066995 -5.13667713987954
12 11 "12_11" 15.4 6.92 96 0.9 15 10 0 100 0 0 0 0 0 30 70 1.63648789635337 -0.568636235841013 -2.3 0.176091259055681 1.48 1.51982799377572 -2.23254431440651
13 2 "13_2" 18.7 8.03 89.6 0.25 7 4 50 50 0 5 12.5 25 12.5 25 20 1.8109042806687 -0.585026652029182 -2.3 0.204119982655925 0.53 0.785329835010767 -3.92959267825988
13 9 "13_9" 11.5 6.91 63.6 0.4 7 3 70 30 0 10 20 30 10 20 10 1.88366143515362 -0.0757207139381184 0.43 -2.30102999566398 0.4 1.13353890837022 -2.36536657312633
13 11 "13_11" 15.5 7.05 90 0.4 8 4 70 30 0 0 5 20 15 30 30 1.88366143515362 -0.193820026016113 -2.3 -2.30102999566398 0.26 0.880813592280791 -2.62782102719021
14 2 "14_2" 17.1 7.65 87 0.2 6 1.5 40 60 0 0 5 30 35 20 10 1.81756536955978 -0.366531544420413 -2 0.278753600952829 -0.52 0.778151250383644 -4.81844222613721
14 9 "14_9" 10 6.4 73 0.5 4 1.5 50 50 0 5 40 15 10 20 10 1.75204844781944 -0.0604807473813815 -2 0.176091259055681 -0.25 0.792391689498254 -4.18976748200492
14 11 "14_11" 13.2 6.25 99 0.4 6 1.5 50 50 0 5 15 30 30 10 10 1.65224634100332 -0.795880017344075 -2.3 -2.30102999566398 0.11 0.255272505103306 -4.4907974776689
15 9 "15_9" 8.2 6.42 66.8 0.4 4 3 80 20 0 5 15 10 10 30 30 1.67394199863409 -1.82390874094432 -0.16 0.278753600952829 -0.7 0.690196080028514 -5.13667713987954
15 11 "15_11" 12 7.07 108.7 0.4 4 2 80 20 0 5 15 25 20 20 15 2.70926996097583 -0.366531544420413 -2.3 -2.30102999566398 -1 0.342422680822206 -5.13667713987954
16 2 "16_2" 20.5 6.47 21.3 0.15 6 2 20 80 5 20 20 7.5 7.5 15 25 3.30384377488865 -0.823908740944319 -1.7 -2.30102999566398 0.4 0.681241237375587 -4.37530546872792
16 9 "16_9" 14.5 8.7 96.2 0.4 15 5 40 60 0 30 20 5 5 10 30 3.01283722470517 -0.853871964321762 -2 -2.30102999566398 0.48 0.518513939877887 -4.42388910587916
16 11 "16_11" 22.8 8.94 141.2 0.2 8 3 20 80 10 10 20 10 10 20 20 2.6730209071289 -0.443697499232713 -2.3 -2.30102999566398 1.41 0.707570176097936 -4.10045306890913
17 2 "17_2" 17.9 7.92 94.6 0.15 6 1 25 75 22.5 17.5 15 10 5 12.5 17.5 2.76192783842053 -0.481486060122112 -2.3 -2.30102999566398 0.56 0.342422680822206 -2.51485091347933
17 9 "17_9" 14.2 8.72 82 0.3 6 1 25 75 30 15 10 5 5 10 25 3.17609125905568 -1.09691001300806 -2 0.322219294733919 0 0.963787827345555 -2.2930740792296
17 11 "17_11" 20.3 6.6 60 0.3 6 3 15 85 15 20 20 15 5 15 10 3.23146959043068 -0.795880017344075 -0.74 -2.30102999566398 0.2 0.414973347970818 -1.24478340860432
18 9 "18_9" 13.5 7.34 68 0.3 2 1 5 95 0 0 0 0 0 15 85 2.48000694295715 -1.82390874094432 -2.3 0.0791812460476248 0.6 1.10037054511756 -1.15362731677325
18 11 "18_11" 16.8 7.07 75 0.25 2 1 5 95 0 0 0 0 10 15 75 2.47129171105894 -0.468521082957745 -2 -0.397940008672038 0.66 1.07554696139253 -1.04493138007498
19 2 "19_2" 15 7.14 53 0.4 5 2 0 100 0 0 0 0 0 15 85 2.13033376849501 -0.3767507096021 -1.7 -2.30102999566398 -1.3 0.934498451243568 -2.89640834859183
19 9 "19_9" 12.3 6.71 60.2 0.3 4 2.5 0 100 0 0 0 0 0 10 90 2.13987908640124 -1.82390874094432 -1.7 -2.30102999566398 1.4 1.19312459835446 -5.13667713987954
19 11 "19_11" 17 7.33 85.7 0.6 6 4 0 100 0 0 0 0 0 20 80 2.12904505988796 -0.568636235841013 -2.3 -2.30102999566398 0.38 0.851258348719075 -3.75345218225818
20 2 "20_2" 14.6 7.12 76 0.05 2.5 1.5 0 100 0 0 20 25 25 10 20 2.27415784926368 -0.387216143280265 -1.7 -2.30102999566398 0.76 1.30535136944662 -4.28341242232431
20 9 "20_9" 12.3 6.71 60.8 0.2 4 1.5 0 100 0 0 0 0 0 10 90 2.13987908640124 0.652246341003323 -2.3 -0.221848749616356 1.3 1.02938377768521 -4.38278990544257
20 11 "20_11" 16.5 7.3 88.5 0.2 3.5 3 0 100 5 0 5 20 20 30 20 2.16016829295851 -0.886056647693163 -2.3 -0.154901959985743 -0.22 0.977723605288848 -2.37980875043412
21 2 "21_2" 16.3 7.45 40.4 0.3 10 5 0 100 0 0 0 0 0 5 95 3.50785587169583 -0.366531544420413 -2 -2.30102999566398 1.48 0.755874855672491 -1.85673656703999
21 9 "21_9" 11.6 7.93 84 0.5 10 6 0 100 0 0 0 0 0 0 100 3.43933269383026 0.48572142648158 -2.3 0.0791812460476248 -0.12 0.686636269262293 -5.13667713987954
21 11 "21_11" 18 8.11 26 0.4 10 5 0 100 0 0 0 0 0 10 90 3.54406804435028 -0.193820026016113 -2.3 -2.30102999566398 1.51 0.0791812460476248 -3.03405080803
22 2 "22_2" 18.2 7.65 48.1 0.2 2 1 0 100 0 7.5 15 5 10 42.5 20 3.7427251313047 -0.522878745280338 -2.3 -2.30102999566398 -1 0.113943352306837 -5.13667713987954
22 9 "22_9" 10.9 6.4 67.2 0.5 2.5 1 10 90 0 5 15 5 10 45 20 3.16136800223497 -0.602059991327962 -2.3 -2.30102999566398 0.3 0.690196080028514 -5.13667713987954
22 11 "22_11" 14.2 7.24 104.8 0.4 2 1 5 95 0 10 15 5 10 40 20 3.42488163663107 -1.52287874528034 -2.3 -0.154901959985743 1.4 0.792391689498254 -4.45333397492982
23 2 "23_2" 18.9 7.12 22.5 0.05 3 1 0 100 0 0 2.5 10 17.5 25 45 3.52504480703685 0.328379603438738 -0.59 0.397940008672038 1.3 0.851258348719075 -5.13667713987954
23 9 "23_9" 10.9 6.89 39.7 0.1 4 1 0 100 0 0 5 15 25 10 45 3.48855071650044 0.495544337546448 -2.3 0.973127853599699 1.3 1.38381536598043 -2.61557668853755
23 11 "23_11" 14.7 6.9 4 0.1 3.5 2.5 0 100 0 0 0 5 10 40 45 3.62940959910272 0.903089986991944 -0.07 -1.22184874961636 0.48 1.22010808804006 -1.88888507742115
24 2 "24_2" 20.6 7.73 41.1 0.3 12 8 0 100 0 30 15 15 20 15 5 3.51188336097887 -0.301029995663981 -2 0.301029995663981 -1 0.90848501887865 -4.59260909552927
