Id	SqCones	Ntrees	DBH	TreeHeight	CanopyCover
Abern1	61	32	0.23	20.42	91.30
Abern2	4	4	0.27	15.20	61.50
Abern3	15	34	0.17	15.97	91.40
Abern4	9	22	0.23	22.42	92.00
Abern5	42	22	0.18	19.45	93.20
Abern6	4	21	0.23	23.07	93.50
Abern7	12	19	0.22	21.06	88.50
Abern8	27	15	0.26	18.82	88.00
Abern9	0	12	0.23	19.16	89.80
Abern10	4	9	0.12	6.38	73.30
Abern11	91	5	0.79	25.50	94.80
Abern12	20	12	0.20	12.02	94.20
Abern13	5	15	0.19	9.06	76.80
Abern14	14	42	0.15	8.82	77.20
Abern15	35	74	0.15	17.91	91.30
Abern16	11	23	0.15	15.93	92.20
Abern17	47	67	0.14	13.79	91.80
Abern18	17	33	0.17	14.60	88.60
Abern19	16	12	0.34	13.99	92.40
Abern20	0	7	0.40	16.16	85.20
Abern21	44	14	0.37	20.88	92.90
Abern22	18	23	0.23	15.54	91.50
Abern23	9	13	0.27	16.98	90.70
Abern24	16	7	0.32	19.20	89.00
Abern25	60	11	0.26	20.03	93.50
Abern26	3	7	0.29	15.87	91.90
Abern27	5	10	0.35	20.87	90.70
Abern28	5	11	0.31	21.55	90.40
Abern29	2	3	0.42	20.37	69.90
Abern30	32	11	0.33	18.27	92.60
Abern31	55	15	0.32	24.50	91.40
Abern32	3	11	0.34	19.12	89.20
QEFP33	18	14	0.35	22.98	87.60
QEFP34	0	13	0.27	16.11	54.40
QEFP35	11	7	0.35	22.26	93.10
QEFP36	0	22	0.23	15.55	90.20
QEFP37	6	18	0.33	20.98	93.60
QEFP38	4	18	0.27	19.21	93.10
QEFP39	0	9	0.35	24.12	84.40
QEFP40	48	11	0.37	22.68	86.50
QEFP41	7	16	0.26	21.27	91.10
QEFP42	2	11	0.35	21.70	80.70
QEFP43	3	12	0.35	21.48	83.30
QEFP44	2	8	0.35	21.87	77.30
QEFP45	21	9	0.33	21.65	80.00
QEFP46	22	9	0.32	23.32	88.00
QEFP47	4	12	0.36	22.77	81.10
QEFP48	1	28	0.22	18.53	93.80
QEFP49	3	30	0.19	16.19	84.80
QEFP50	25	30	0.18	19.47	87.20
QEFP51	57	36	0.17	17.08	89.60
QEFP52	12	11	0.26	21.36	87.80
